,,,,,,,,,
,,all unique parts that need to be ordered,,,,,,,
,,,,,,,,,
,Part (modified),Description,SUM of Quantity Installed,AVERAGE of Quantity Available (manual),Difference,supplier_name,supplier_part_number,supplier_2_name,supplier_2_part_number
,120-00060,"SCREW, M4 X 0.7, 14MM LONG, CLASSS 10.9, BUTTON HEAD, ZN-PLATED STL",14,36,58,MCMASTER-CARR,91306A728,,
,120-00062,"SCREW, M4 X 0.7, 45MM LONG, CLASSS 8.8, HEX HEAD, ZN-PLATED STL",40,10,-10,MCMASTER-CARR,91280A149,,
,120-00064,"SCREW, M8 X 1.25, 25MM LONG, CLASSS 8.8, HEX HEAD, FLANGED, ZN-PLATED STL",29,21,76,MCMASTER-CARR,94036A425,,
,120-00065,"WASHER, M4, 9 MM OD, 18-8 STAINLESS",36,200,364,MCMASTER-CARR,93475A230,,
,120-00066,"SCREW, 1/2-13, 25.4MM LONG, ZN-PLATED STL, HEX HEAD, FLANGED",79,21,5,MCMASTER-CARR,92979A463,,
,120-00067,"SCREW, 3/8-16, 25.4MM LONG, ZN-PLATED STL, HEX HEAD, FLANGED",39,36,177,MCMASTER-CARR,92979A344,,
,120-00073,"SCREW, M5 X 0.8 - 10 MM, BHCS, CLASS 8.8 ZP",16,80,304,MCMASTER-CARR,91306A757,,
,120-00075,"SCREW, M10 X 1.5 X 25 MM, HHCS FLANGED, CLASS 10.9, ZN",10,20,30,MCMASTER-CARR,93474A222,,
,120-00077,"SCREW, M12 X 1.75 X 30 MM, HHCS FLANGED, CLASS 10.9, ZN",23,17,62,MCMASTER-CARR,93474A232,,
,120-00078,"SCREW, M12 X 1.75 X 45 MM, HHCS FLANGED, CLASS 8.8, ZN",6,4,-2,MCMASTER-CARR,94036A467,,
,120-00079,"SCREW, M14 X 2 X 45 MM, HHCS, CLASS 8.8, ZN",8,2,-6,MCMASTER-CARR,91280A784,,
,120-00080,"SCREW, M16 X 2 X 55 MM, HHCS, CLASS 8.8, ZN",16,4,-8,MCMASTER-CARR,91280A845,,
,120-00081,"SCREW, 3/8-16, 2.75 IN LONG, ZN-PLATED STL, HEX HEAD",48,2,-40,MCMASTER-CARR,91247A635,,
,120-00083,"FLANGE NUT, M10 X 1.5, CLASS 10 ZP",10,40,70,MCMASTER-CARR,95003A103,,
,120-00085,"FLANGE NUT, M12 X 1.75, CLASS 10 ZP",4,16,12,MCMASTER-CARR,95003A104,,
,120-00086,"FLANGE NUT, M14 X 2, CLASS 8 ZP",8,12,4,MCMASTER-CARR,90374A120,,
,120-00087,"FLANGE NUT, M16 X 2, CLASS 10 ZP",16,4,-8,MCMASTER-CARR,95003A105,,
,120-00090,"WASHER, OVERSIZED, M10 X 25 MM OD, ZP",16,40,64,MCMASTER-CARR,97310A116,,
,120-00093,"WASHER, SPLIT LOCK, M14, ZP",8,92,84,MCMASTER-CARR,91202A250,,
,120-00094,"WASHER, SPLIT LOCK, M16, ZP",16,34,52,MCMASTER-CARR,91202A253,,
