Part Number,Description,Qty Required,Preferred Vendor,Notes
140-00515,"ADAPTER, 0.75 COMP, 0.5 BSPP, NO GASKET, 316SS",,Superlok,supplier PN: SGMC-12-8G-S316
140-00516,"ADAPTER, 0.25 COMP, 0.5 BSPP, NO GASKET, 316SS",,Superlok,supplier PN: SGMC-4-8G-S316
140-00520,"CORD GRIP, 3/4 KNOCKOUT SIZE, CORD OD 0.06 - 0.13, ALUMINUM",,MCMASTER-CARR,supplier PN: 7529K401
140-00521,SCREW-PLUG IMMERSION HEATING ELEMENT,,MCMASTER-CARR,supplier PN: 3656k6
140-00524,HONEYWELL H2 LEAK DETECTOR SENSOR,,Honeywell,supplier PN: HLD-111-111-001 | alt: DigiKey 480-HLD-111-111-001-ND
140-00540,"ELBOW, 0.75 COMP, 0.75 MNPT, 316SS",,Superlok,supplier PN: SME 12-12N
140-00541,"ADAPTER, 0.75 MGHT, 0.75 MNPT, 303 SS",,MCMASTER-CARR,supplier PN: 6224T18
140-00542,"ADAPTER, 0.75 FGHT, 0.75 MNPT, SWIVEL, 303SS",,MCMASTER-CARR,supplier PN: 7476T54
140-00543,"ADAPTER, 0.75 FGHT, 0.75 MNPT, RIGID, 303SS",,,
140-00544,"ADAPTER, 0.5 MNPT, 0.25 FNPT, 316SS",,MCMASTER-CARR,supplier PN: 4452K165
140-00546,"RIGHT ANGLE TEE, UNIVERSAL THREAD 1/4"" X PUSH TO CONNECT 1/2"", NI PLATED BRASS",,MCMASTER-CARR,supplier PN: 7397N96
140-00547,"STRAIGHT CONNECTOR, 1/4"" NPT MALE, 304SS",,,
140-00558,"SOFT TUBE SUPPORT, 0.5 IN, BARBED, 316 SS",,Superlok,supplier PN: SI8-6-S316
140-00579,"LOOP CLAMP, 1.75"" ID, VIBRATION DAMPING",,MCMASTER-CARR,supplier PN: 3177T19
140-00580,"ADAPTER, 1"" MNPT, 0.75 FNPT, ALUMINUM",,MCMASTER-CARR,supplier PN: 44705k284
140-00581,"CORD GRIP, 3/4 KNOCKOUT SIZE, CORD OD 0.19"" - 0.25"", ALUMINUM",,MCMASTER-CARR,supplier PN: 7529K403
140-00585,"STRAIGHT ADAPTER, 3/4"" OD COMPRESSION X 3/4"" NPT MALE, 316 SS",,MCMASTER-CARR,supplier PN: 5182K816
140-00592,"WORM-DRIVE CLAMPS FOR HOSE, 0.5"" BAND WIDTH, 46 TO 77MM CLAMP ID",,MCMASTER-CARR,supplier PN: 5415K21
140-00601,"HOSE, BRAIDED, 18"" LONG, 0.75 FNPT X 0.75 FNPT, 316 SS",,MCMASTER-CARR,supplier PN: 5793T18
140-00621,"HOSE, BRAIDED, 60"" LONG, 2"" OD TUBE TRI CLAMP, 316 SS",,MCMASTER-CARR,supplier PN: 1111N19-1111N199
140-00630,"ADAPTER, 0.5 FNPT X 0.75 MNPT, CLASS 3000, 316SS",,ZORO,supplier PN: 1RTT2
140-00635,"INSULATION, FIBERGLASS, ELBOW, VELCRO JACKET, GRAY, 7/8"" ID, 3/8"" THICKNESS, 1.7 R-VALUE, 260C MAX",,MCMASTER-CARR,supplier PN: 46015K811
140-00636,"INSULATION, FIBERGLASS, ELBOW, VELCRO JACKET, GRAY, 1-3/8"" ID, 3/8"" THICKNESS, 1.7 R-VALUE, 260C MAX",,MCMASTER-CARR,supplier PN: 46015K813
140-00637,"INSULATION, FIBERGLASS, TEE, VELCRO JACKET, GRAY, 7/8"" ID, 3/8"" THICKNESS, 1.7 R-VALUE, 260C MAX",,MCMASTER-CARR,supplier PN: 46015K111
140-00639,"HEATING TAPE, AMOX OVERBRAID, ONE SIDED LEADS, 240V, 6 FT, 1/2"" WIDE, 312W, 8.67 W/IN2, 760C MAX",,HTS AMPTEK,supplier PN: AWH-052-060DM
140-00641,"HEATING TAPE, AMOX OVERBRAID, ONE SIDED LEADS, 240V, 6 FT, 1/2"" WIDE, 520W, 8.67 W/IN2, 760C MAX",,HTS AMPTEK,supplier PN: AWH-052-100DM
160-00017,"TAPE, FIBERGLASS, ROLL, 1/2"" WIDE, 260C MAX",,HTS AMPTEK,supplier PN: ADHESIVE TAPE (NO UNIQUE P/N)
160-00018,"INSULATION, FIBERGLASS, TUBE, VELCRO JACKET, GRAY, 7/8"" ID, 3/8"" THICKNESS, 1.7 R-VALUE, 260C MAX",,MCMASTER-CARR,supplier PN: 45985K31
Part (modified),Description,,supplier_name,supplier PN: supplier_part_number | alt: supplier_2_name supplier_2_part_number
010-00098,"ASY,ENCLOSURE,WELDED,DRYER",,,
010-00099,"ASY,ENCLOSURE,WELDED,BOP",,,
010-00157,"ASSY, BASE PLATE, WATER TOWER, SW, W/ RIV NUTS, AMUR",,,
010-00158,"ASSY, BASE PLATE, WATER TOWER, SE, W/ RIV NUTS, AMUR",,,
010-00159,"ASSY, BASE PLATE, WATER TOWER, NW, W/ RIV NUTS, AMUR",,,
010-00160,"ASSY, BASE PLATE, WATER TOWER, NE, W/ RIV NUTS, AMUR",,,
100-00254,"TANK, PRIMARY, AMUR",,,
100-00255,"TANK, THERMAL LOOP, AMUR",,,
100-00305,"BRACKET, MOUNTING, PRIMARY TANK, AMUR",,,
100-00306,"BRACKET, MOUNTING, THERMAL TANK, AMUR",,,
100-00340,"PIPE RUN, TANK_PUMP, PRIMARY LOOP",,,
100-00342,"PIPE RUN, PUMP_HX, PRIMARY LOOP",,,
100-00345,"MOUNTING PLANE, PRE_INLET DI, WATER TOWER, AMUR",,,
100-00355,"PIPE RUN, BLADE_BYPASS, PRIMARY LOOP",,,
100-00356,"PIPE RUN, HX_FILTER_1, PRIMARY LOOP",,,
100-00357,"PIPE RUN, HX_FILTER_2, PRIMARY LOOP",,,
100-00358,"PIPE RUN, TANK_PUMP, THERMAL LOOP",,,
100-00359,"PIPE RUN, PUMP_HX, THERMAL LOOP",,,
100-00360,"PIPE RUN, HX_RADIATOR, THERMAL LOOP",,,
100-00361,"PIPE RUN, RADIATOR_TANK_1, THERMAL LOOP",,,
100-00362,"PIPE RUN, RADIATOR_TANK_2, THERMAL LOOP",,,
100-00365,"TANK, LID, PRE_PROCESS, LPPS, AMUR",,,
100-00367,"FAN MOUNT, PRE_PROCESS, LPPS, AMUR",,,
100-00370,"WLDMT, TANK, PRE_PROCESS, LPPS, AMUR",,,
100-00374,"ADAPTER, DN50 COMPAC FLANGE_TRI CLAMP, 316SS",,,
100-00379,"DEFLECTOR BAFFLE, PRE-PROCESS, LPPS, AMUR",,,
100-00391,"BASE PLATE, PANEL, REGEN EXHAUST, H2, AMUR",,,
100-00392,"BASE PLATE, PANEL, REGEN SUPPLY, H2, AMUR",,,
100-00393,"BASE PLATE, PANEL, DRIER INLET, H2, AMUR",,,
100-00402,"BRACKET, MOUNTING, PUMP, AMUR",,,
100-00403,"BASE PLATE, HX PIPE ROUTING, WATER TOWER, AMUR",,,
100-00404,"BASE PLATE, HX, WATER TOWER, AMUR",,,
100-00405,"BRACKET, MOUNTING, HX, RIGHT",,,
100-00406,"BRACKET, MOUNTING, HX, LEFT",,,
100-00407,"BRACKET, MOUNTING, BYPASS ASSY, LONG",,,
100-00408,"BRACKET, MOUNTING, BYPASS ASSY, SHORT",,,
100-00409,"BASE PLATE, POLISHING DI, WATER TOWER, AMUR",,,
100-00410,"BASE PLATE, WATER TOWER, SW, AMUR",,,
100-00411,"BASE PLATE, WATER TOWER, SE, AMUR",,,
100-00412,"BASE PLATE, WATER TOWER, NW, AMUR",,,
100-00413,"BASE PLATE, WATER TOWER, NE, AMUR",,,
100-00415,"BRACKET, HEATER MOUNT, H2 TOWER, AMUR",,,
100-00416,"BASE PLATE, PANEL, PRESSURE RELEIF, H2, AMUR",,,
100-00425,"SHELF, INLET DI, AMUR",,,
100-00426,"MOUNT PLATE, INLET WATER, AMUR",,,
100-00427,"BRACKET, H2 CONDENSOR, MAIN, AMUR",,,
100-00428,"BRACKET, H2 CONDENSOR, LEFT, AMUR",,,
100-00429,"BRACKET, H2 CONDENSOR, RIGHT, AMUR",,,
100-00432,"BASE PLATE, MID-PLANE, TOP, H2 TOWER, AMUR",,,
100-00433,"BASE PLATE, MID-PLANE, BOTTOM, H2 TOWER, AMUR",,,
100-00470,"BRACKET, STANDOFF, INLET DI WATER PANEL, AMUR",,,
100-00478,"ENCLOSURE, MODIFIED, H2 SENSOR BOX, WATER TOWER, AMUR",,MCMASTER-CARR,supplier PN: 6942K611
100-00479,"BACK PLANE, MODIFIED, H2 SENSOR BOX, WATER TOWER, AMUR",,,
100-00480,"BASE PLATE, O2 OUTLET, WATER TOWER, AMUR",,,
100-00482,"UNISTRUNT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 42.25"" LONG",,,
100-00483,"UNISTRUNT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 44"" LONG",,,
100-00484,"UNISTRUNT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 20.4"" LONG",,,
100-00485,"UNISTRUT, 1-5/8 X 1-5/8, SLOTTED, STEEL, POWDER COAT, WHITE, 21"" LONG",,,
